Nr,Beginregel
1,Hij's de Koning van mijn hart
2,O, hoe wonderbaar is Jezus' bloed
3,Wees blij in de Heer en zing verheugd
4,Zijn naam is wonderbaar
5,Halleluja (Jerry Sinclair)
6,Hij is Heer, Hij is Heer
7,Heer, God, U loven wij
8,Door de heilige Geest zijn wij één
9,Wat ik nodig heb
10,Laat mijn leven zijn
11,Er is een Heer/Jezus sprak hier op aard
12,All over the world
13,Jezus, Hij is Koning
14,De vreugde des Heren is mijn kracht
15,Jesus' love is very wonderful
16,Hij is getrouw en nimmer falend
17,Ja, God is goed
18,Zijn goedheid en genade
19,He brought me to His banqueting table
20,Niemand anders dan Jezus
21,Ik dank U, dank U Jezus
22,In de naam van Jezus, in de naam van Jezus
23,Ik weet, dat God de weg mij banen zal
24,Zingt, zingt en jubelt
25,Laat ons met elkander
26,Gods weg is de beste
27,Leid mij, Heer, o machtig Heiland
28,Als Gods Geest waarlijk in ons woont
29,Praise the Lord
30,Ik heb een loflied in mijn hart
31,O, how I love Jesus
32,Dit is de dag die de Heer ons geeft
33,Prijst God
34,Hiney ma tov ooma nayim
35,Klapt in de handen
36,Roep Mij toch aan
37,Halleluja. Hij stierf voor mij
38,Halleluja (Garratt)
39,Heilig, heilig, Heer God almachtig
40,Zoekt eerst het koninkrijk van God
41,Love is the flag
42,'k Stel mijn vertrouwen
43,In Gods overwinning
44,Geprezen zij de Heer die eeuwig leeft
45,Heer, 'k wil U danken, U loven en prijzen
46,Vader, ik aanbid U
47,Omdat Hij leeft
48,Dank U Jezus
49,Halleluja, want de Heer onze God
50,'k Wil U prijzen, o Heer
51,Dit is mijn gebod
52,Gij zijt waardig
53,Zingt de Here een nieuw lied
54,Looft de Here, alle gij volken
55,Groot is de Heer en hoog te loven
56,Zijn naam is hoger
57,Prijst de naam van Jezus
58,Vrede zij u
59,Mogen de woorden van mijn mond
60,Voor uw liefde, Heer Jezus
61,Prijst met ons de Heer
62,Gods lof wil 'k zingen
63,Prijst de Here met elkander
64,Beter dan 't leven
65,Loof de Here, mijn ziel
66,Komt, prijst de Heer
67,Het is goed, ja 't is goed
68,Zing halleluja voor de Heer
69,'k Heb je lief met de liefde van de Heer
70,Heer, onze God, hoe heerlijk is uw naam
71,Jezus leeft in eeuwigheid
